Teks_Manado,Teks_Indo
Tu dosen so beking makanan kemarin sore jo.,Dosen itu sudah membuat makanan kemarin sore.
Tu dosen so beking makanan tadi pagi jo.,Dosen itu sudah membuat makanan tadi pagi.
Torang so makang laporan kemarin sore kote.,Kami sudah makan laporan kemarin sore.
Torang so makang hp di Megamas to.,Kami sudah makan handphone di Megamas.
Ngoni ada lia kunci rumah cepat-cepat neh.,Kalian melihat kunci rumah dengan cepat.
Kita so beking hp diam-diam kote.,Saya sudah membuat handphone diam-diam.
Ngoni so makang oto di kampus kang.,Kalian sudah makan mobil di kampus.
Maitua so makang makanan cepat-cepat kang.,Pacar (pr) sudah makan makanan dengan cepat.
Torang mo pigi cari makanan di kampus sto.,Kami akan pergi mencari makanan di kampus.
Tu dosen lupa bawa doi kemarin sore jo.,Dosen itu lupa membawa uang kemarin sore.
Paitua so jual hp pas ujang jo.,Pacar (lk) sudah menjual handphone saat hujan.
Maitua so jual laporan tadi pagi kote.,Pacar (pr) sudah menjual laporan tadi pagi.
Ngoni ada lia doi di Megamas kote.,Kalian melihat uang di Megamas.
Dorang nyanda suka baju baru cepat-cepat neh.,Mereka tidak suka baju baru dengan cepat.
Ngana so makang kunci rumah pas ujang kote.,Kamu sudah makan kunci rumah saat hujan.
Mama ada lia laporan di kampus kote.,Ibu melihat laporan di kampus.
Ngoni ba tele oto cepat-cepat dang.,Kalian menelepon mobil dengan cepat.
Tu dosen nyanda suka doi tadi pagi kote.,Dosen itu tidak suka uang tadi pagi.
